Channel,trl,rip_start,rip_end,rip_peak,rip_dur,entropy,surprise,meanEnt,rt,trl_num,subI
1,4,86,97,93,0.026,1.816340114,1.169925001,1.715485269,678,15,1
1,5,122,135,132,0.03,1.861315277,1.184424571,1.685848318,803,22,1
1,6,488,509,501,0.046,1.833927218,1.115477217,1.668676732,810,23,1
1,7,231,244,233,0.03,1.806165601,2.169925001,1.66341076,902,24,1
1,7,901,919,908,0.04,1.806165601,2.169925001,1.66341076,902,24,1
1,7,937,949,943,0.028,1.806165601,2.169925001,1.66341076,902,24,1
1,11,256,270,261,0.032,1.86640495,2.280107919,1.625571662,784,31,1
1,11,535,553,544,0.04,1.86640495,2.280107919,1.625571662,784,31,1
1,11,677,689,678,0.028,1.86640495,2.280107919,1.625571662,784,31,1
1,12,541,552,542,0.026,1.876012049,2.129283017,1.615496731,891,32,1
1,12,714,731,724,0.038,1.876012049,2.129283017,1.615496731,891,32,1
1,13,355,369,366,0.032,1.881208088,1.263034406,1.616850311,748,33,1
1,15,9,22,19,0.03,1.866864201,1.925999419,1.599903985,569,35,1
1,17,582,594,589,0.028,1.836171475,3.10433666,1.581066496,602,40,1
1,19,657,670,659,0.03,1.921928095,2.321928095,1.921928095,977,42,1
1,22,745,757,755,0.028,1.67673703,1.459431619,1.790855108,521,48,1
1,26,885,896,894,0.026,1.719973094,1.736965594,1.694418043,475,57,1
1,30,335,349,346,0.032,1.819391911,1.432959407,1.66341076,958,64,1
1,35,915,927,922,0.028,1.792654958,1.299560282,1.644207496,814,69,1
1,38,743,755,752,0.028,1.735250168,1.121990524,1.60291237,784,74,1
1,40,155,168,160,0.03,1.667373568,0.965234582,1.588644619,481,78,1
1,40,307,325,316,0.04,1.667373568,0.965234582,1.588644619,481,78,1
1,43,311,322,315,0.026,1.918295834,1.584962501,1.886842188,492,83,1
1,48,132,147,142,0.034,1.784159128,1.584962501,1.75333195,649,89,1
1,68,945,961,951,0.036,1.610577243,3.807354922,1.730489953,690,131,1
1,72,88,104,96,0.036,1.785475297,1,1.694418043,450,137,1
1,77,409,426,418,0.038,1.532789602,0.667424661,1.66341076,415,144,1
1,86,558,569,562,0.026,1.368500217,0.526068812,1.616850311,638,153,1
1,87,605,621,612,0.036,1.323273564,0.493040011,1.599903985,457,155,1
1,87,879,892,890,0.03,1.323273564,0.493040011,1.599903985,457,155,1
1,87,984,997,995,0.03,1.323273564,0.493040011,1.599903985,457,155,1
1,88,12,34,28,0.048,1.301791313,3.285402219,1.595856128,819,156,1
1,88,246,271,261,0.054,1.301791313,3.285402219,1.595856128,819,156,1
1,89,360,372,366,0.028,1.34766645,0.514573173,1.594767647,480,157,1
1,90,148,166,157,0.04,1.327162326,0.499571009,1.588644619,702,158,1
1,90,682,693,692,0.026,1.327162326,0.499571009,1.588644619,702,158,1
1,93,716,730,723,0.032,1.685475297,1,1.809451329,422,167,1
1,93,817,830,824,0.03,1.685475297,1,1.809451329,422,167,1
1,96,411,422,418,0.026,1.471602261,0.736965594,1.729485791,444,172,1
1,99,659,675,665,0.036,1.372706962,1.925999419,1.691740681,440,176,1
1,100,518,531,526,0.03,1.395461844,1.736965594,1.694418043,520,177,1
1,100,776,805,784,0.062,1.395461844,1.736965594,1.694418043,520,177,1
1,103,761,792,785,0.066,1.49563213,1,1.668676732,521,183,1
1,108,894,910,905,0.036,1.420376403,1.343954401,1.630952012,528,190,1
1,110,707,720,712,0.03,1.404665333,1.321928095,1.615496731,485,192,1
1,111,576,596,587,0.044,1.401535864,1.263034406,1.616850311,415,193,1
1,114,542,560,557,0.04,1.37379234,1,1.594767647,429,197,1
1,117,268,296,279,0.06,1.918295834,1.584962501,1.886842188,480,203,1
1,119,63,75,70,0.028,1.75,3,1.838032552,591,205,1
1,119,787,799,793,0.028,1.75,3,1.838032552,591,205,1
1,119,960,976,971,0.036,1.75,3,1.838032552,591,205,1
1,121,450,461,452,0.026,1.760964047,1,1.809451329,491,207,1
1,122,15,26,22,0.026,1.685815709,0.874469118,1.790855108,374,208,1
1,122,350,363,355,0.03,1.685815709,0.874469118,1.790855108,374,208,1
1,124,924,950,939,0.056,1.622556249,0.830074999,1.722827722,586,213,1
1,126,349,366,356,0.038,1.483226197,2.662965013,1.691740681,567,216,1
1,127,516,528,522,0.028,1.49419343,0.691877705,1.681171906,386,218,1
1,127,807,819,813,0.028,1.49419343,0.691877705,1.681171906,386,218,1
1,128,74,85,79,0.026,1.456801782,2.459431619,1.685181791,755,219,1
