subI,norm_count,entropy,time
1,NaN,0.8,-1000
1,NaN,0.8,-800
1,NaN,0.8,-600
1,NaN,0.8,-400
1,NaN,0.8,-200
1,NaN,0.8,0
1,NaN,0.8,200
1,NaN,0.8,400
1,NaN,0.8,600
1,NaN,0.8,800
1,NaN,0.9,-1000
1,NaN,0.9,-800
1,NaN,0.9,-600
1,NaN,0.9,-400
1,NaN,0.9,-200
1,NaN,0.9,0
1,NaN,0.9,200
1,NaN,0.9,400
1,NaN,0.9,600
1,NaN,0.9,800
1,NaN,1,-1000
1,NaN,1,-800
1,NaN,1,-600
1,NaN,1,-400
1,NaN,1,-200
1,NaN,1,0
1,NaN,1,200
1,NaN,1,400
1,NaN,1,600
1,NaN,1,800
1,NaN,1.1,-1000
1,NaN,1.1,-800
1,NaN,1.1,-600
1,NaN,1.1,-400
1,NaN,1.1,-200
1,NaN,1.1,0
1,NaN,1.1,200
1,NaN,1.1,400
1,NaN,1.1,600
1,NaN,1.1,800
1,NaN,1.2,-1000
1,NaN,1.2,-800
1,NaN,1.2,-600
1,NaN,1.2,-400
1,NaN,1.2,-200
1,NaN,1.2,0
1,NaN,1.2,200
1,NaN,1.2,400
1,NaN,1.2,600
1,NaN,1.2,800
1,4.285714286,1.3,-1000
1,4.285714286,1.3,-800
1,4.285714286,1.3,-600
1,4.285714286,1.3,-400
1,2.142857143,1.3,-200
1,0,1.3,0
1,6.428571429,1.3,200
1,0,1.3,400
1,4.285714286,1.3,600
1,2.142857143,1.3,800
1,2.372093023,1.4,-1000
1,3.558139535,1.4,-800
1,5.930232558,1.4,-600
1,4.744186047,1.4,-400
1,8.302325581,1.4,-200
1,13.04651163,1.4,0
1,7.11627907,1.4,200
1,7.11627907,1.4,400
1,3.558139535,1.4,600
1,4.744186047,1.4,800
1,2.27027027,1.5,-1000
1,2.27027027,1.5,-800
1,6.810810811,1.5,-600
1,3.405405405,1.5,-400
1,9.081081081,1.5,-200
1,4.540540541,1.5,0
1,4.540540541,1.5,200
1,4.540540541,1.5,400
1,4.540540541,1.5,600
1,5.675675676,1.5,800
1,1.727272727,1.6,-1000
1,1.727272727,1.6,-800
1,0.863636364,1.6,-600
1,3.454545455,1.6,-400
1,0.863636364,1.6,-200
1,0,1.6,0
1,0.863636364,1.6,200
1,2.590909091,1.6,400
1,0.863636364,1.6,600
1,3.454545455,1.6,800
1,5.803571429,1.7,-1000
1,5.803571429,1.7,-800
1,8.125,1.7,-600
1,5.803571429,1.7,-400
1,15.08928571,1.7,-200
1,1.160714286,1.7,0
1,11.60714286,1.7,200
1,10.44642857,1.7,400
1,4.642857143,1.7,600
1,6.964285714,1.7,800
1,6.555555556,1.8,-1000
1,5.736111111,1.8,-800
1,1.638888889,1.8,-600
1,4.097222222,1.8,-400
1,7.375,1.8,-200
1,4.916666667,1.8,0
1,1.638888889,1.8,200
1,7.375,1.8,400
1,2.458333333,1.8,600
1,6.555555556,1.8,800
1,5.476190476,1.9,-1000
1,7.666666667,1.9,-800
1,10.95238095,1.9,-600
1,6.571428571,1.9,-400
1,9.857142857,1.9,-200
1,12.04761905,1.9,0
1,6.571428571,1.9,200
1,6.571428571,1.9,400
1,5.476190476,1.9,600
1,4.380952381,1.9,800
2,NaN,0.8,-1000
2,NaN,0.8,-800
2,NaN,0.8,-600
2,NaN,0.8,-400
2,NaN,0.8,-200
2,NaN,0.8,0
2,NaN,0.8,200
2,NaN,0.8,400
2,NaN,0.8,600
2,NaN,0.8,800
2,NaN,0.9,-1000
2,NaN,0.9,-800
2,NaN,0.9,-600
2,NaN,0.9,-400
2,NaN,0.9,-200
2,NaN,0.9,0
2,NaN,0.9,200
2,NaN,0.9,400
2,NaN,0.9,600
2,NaN,0.9,800
2,NaN,1,-1000
2,NaN,1,-800
2,NaN,1,-600
